Tarih,Müşteri,Segment,Satış,Tahsilat,Gider,Stok
2022-01-31,Müşteri_0,C,10860,10860.0,10860.0,320
2022-01-31,Müşteri_4,C,15191,15191.0,14583.359999999999,238
2022-01-31,Müşteri_6,A,15734,15734.0,14789.96,171
2022-01-31,Müşteri_10,C,14426,14426.0,12983.4,137
2022-01-31,Müşteri_30,A,18322,18322.0,12825.4,199
2022-01-31,Müşteri_A,A,10769,11725.281911416574,12465.51801686833,435
2022-01-31,Müşteri_B,D,15051,13144.968511121613,8972.037077634488,71
2022-01-31,Müşteri_C,A,18666,19501.138453155174,11382.742680541949,237
2022-02-28,Müşteri_0,D,19998,19998.0,19998.0,239
2022-02-28,Müşteri_4,B,12734,12734.0,12224.64,495
2022-02-28,Müşteri_6,C,11899,11899.0,11185.06,104
2022-02-28,Müşteri_10,D,11528,11528.0,10375.2,180
2022-02-28,Müşteri_30,A,13890,13890.0,9723.0,184
2022-02-28,Müşteri_A,A,15393,18156.878029976222,19598.156842811753,291
2022-02-28,Müşteri_B,B,17513,14694.612693037521,13380.029936347373,416
2022-02-28,Müşteri_C,D,19670,20535.453703433657,20533.748173253527,84
2022-03-31,Müşteri_0,B,13152,13152.0,13152.0,469
2022-03-31,Müşteri_4,B,13943,13943.0,13385.279999999999,437
2022-03-31,Müşteri_6,B,11021,11021.0,10359.74,439
2022-03-31,Müşteri_10,B,13843,13843.0,12458.7,359
2022-03-31,Müşteri_30,A,16873,16873.0,11811.099999999999,93
2022-03-31,Müşteri_A,B,14297,16554.938651625638,14216.38780722829,353
2022-03-31,Müşteri_B,C,17629,15485.192752634845,8162.808348192693,345
2022-03-31,Müşteri_C,A,16863,18531.22360689866,15266.305153960926,329
2022-04-30,Müşteri_0,B,14859,14859.0,14859.0,237
2022-04-30,Müşteri_4,D,18684,18684.0,17936.64,90
2022-04-30,Müşteri_6,A,12062,12062.0,11338.279999999999,350
2022-04-30,Müşteri_10,A,18006,18006.0,16205.4,58
2022-04-30,Müşteri_30,D,12027,12027.0,8418.9,185
2022-04-30,Müşteri_A,D,15258,13419.974960634796,12437.702196918965,468
2022-04-30,Müşteri_B,A,15892,18601.909424533656,16567.720226336005,77
2022-04-30,Müşteri_C,C,18392,19299.07965944498,13481.156234193058,97
2022-05-31,Müşteri_0,C,12454,12454.0,12454.0,111
2022-05-31,Müşteri_4,D,18996,18996.0,18236.16,148
2022-05-31,Müşteri_6,D,18154,18154.0,17064.76,84
2022-05-31,Müşteri_10,A,18110,18110.0,16299.0,180
2022-05-31,Müşteri_30,A,11028,11028.0,7719.599999999999,267
2022-05-31,Müşteri_A,C,16910,15260.046135157596,8000.23413263869,256
2022-05-31,Müşteri_B,C,15977,12944.048555196163,7309.955399412522,112
2022-05-31,Müşteri_C,D,12790,12663.994061799684,10611.98813009929,437
2022-06-30,Müşteri_0,B,17574,17574.0,17574.0,280
2022-06-30,Müşteri_4,A,11678,11678.0,11210.88,220
2022-06-30,Müşteri_6,A,11059,11059.0,10395.46,62
2022-06-30,Müşteri_10,D,19914,19914.0,17922.600000000002,292
2022-06-30,Müşteri_30,B,15915,15915.0,11140.5,115
2022-06-30,Müşteri_A,B,19789,20844.970775033908,21321.82770795102,77
